;City;Gender;variable;value;Numb
1;Adana-1;M;-15.19;89973;-89973
2;Adıyaman-2;M;-15.19;29195;-29195
3;Afyonkarahisar-3;M;-15.19;29340;-29340
4;Ağrı-4;M;-15.19;31306;-31306
5;Aksaray-68;M;-15.19;17436;-17436
6;Amasya-5;M;-15.19;12016;-12016
7;Ankara-6;M;-15.19;202713;-202713
8;Antalya-7;M;-15.19;88518;-88518
9;Ardahan-75;M;-15.19;3914;-3914
10;Artvin-8;M;-15.19;5445;-5445
11;Aydın-9;M;-15.19;36737;-36737
12;Balıkesir-10;M;-15.19;39204;-39204
13;Bartın-74;M;-15.19;6890;-6890
14;Batman-72;M;-15.19;33906;-33906
15;Bayburt-69;M;-15.19;3777;-3777
16;Bilecik-11;M;-15.19;7871;-7871
17;Bingöl-12;M;-15.19;12191;-12191
18;Bitlis-13;M;-15.19;19039;-19039
19;Bolu-14;M;-15.19;11481;-11481
20;Burdur-15;M;-15.19;9709;-9709
21;Bursa-16;M;-15.19;107382;-107382
22;Çanakkale-17;M;-15.19;16677;-16677
23;Çankırı-18;M;-15.19;6837;-6837
24;Çorum-19;M;-15.19;18739;-18739
25;Denizli-20;M;-15.19;37204;-37204
26;Diyarbakır-21;M;-15.19;88906;-88906
27;Düzce-81;M;-15.19;15293;-15293
28;Edirne-22;M;-15.19;12785;-12785
29;Elazığ-23;M;-15.19;24498;-24498
30;Erzincan-24;M;-15.19;8964;-8964
31;Erzurum-25;M;-15.19;36719;-36719
32;Eskişehir-26;M;-15.19;29715;-29715
33;Gaziantep-27;M;-15.19;95651;-95651
34;Giresun-28;M;-15.19;15377;-15377
35;Gümüşhane-29;M;-15.19;6658;-6658
36;Hakkari-30;M;-15.19;15428;-15428
37;Hatay-31;M;-15.19;69720;-69720
38;Iğdır-76;M;-15.19;9876;-9876
39;Isparta-32;M;-15.19;17147;-17147
40;İstanbul-34;M;-15.19;563324;-563324
41;İzmir-35;M;-15.19;138707;-138707
42;Kahramanmaraş-46;M;-15.19;53537;-53537
43;Karabük-78;M;-15.19;10130;-10130
44;Karaman-70;M;-15.19;10120;-10120
45;Kars-36;M;-15.19;13542;-13542
46;Kastamonu-37;M;-15.19;13324;-13324
47;Kayseri-38;M;-15.19;57555;-57555
48;Kilis-79;M;-15.19;6379;-6379
49;Kırıkkale-71;M;-15.19;11651;-11651
50;Kırklareli-39;M;-15.19;10793;-10793
51;Kırşehir-40;M;-15.19;9358;-9358
52;Kocaeli-41;M;-15.19;72985;-72985
53;Konya-42;M;-15.19;94705;-94705
54;Kütahya-43;M;-15.19;20639;-20639
55;Malatya-44;M;-15.19;32947;-32947
56;Manisa-45;M;-15.19;49978;-49978
57;Mardin-47;M;-15.19;44358;-44358
58;Mersin-33;M;-15.19;71252;-71252
59;Muğla-48;M;-15.19;30289;-30289
60;Muş-49;M;-15.19;23905;-23905
61;Nevşehir-50;M;-15.19;11651;-11651
62;Niğde-51;M;-15.19;15843;-15843
63;Ordu-52;M;-15.19;26504;-26504
64;Osmaniye-80;M;-15.19;23549;-23549
65;Rize-53;M;-15.19;12349;-12349
66;Sakarya-54;M;-15.19;40623;-40623
67;Samsun-55;M;-15.19;51226;-51226
68;Şanlıurfa-63;M;-15.19;109846;-109846
69;Siirt-56;M;-15.19;19193;-19193
70;Sinop-57;M;-15.19;7181;-7181
71;Şırnak-73;M;-15.19;30287;-30287
72;Sivas-58;M;-15.19;25573;-25573
73;Tekirdağ-59;M;-15.19;36306;-36306
74;Tokat-60;M;-15.19;24256;-24256
75;Trabzon-61;M;-15.19;29653;-29653
76;Tunceli-62;M;-15.19;2008;-2008
77;Uşak-64;M;-15.19;13443;-13443
78;Van-65;M;-15.19;63707;-63707
79;Yalova-77;M;-15.19;9962;-9962
80;Yozgat-66;M;-15.19;17083;-17083
81;Zonguldak-67;M;-15.19;20933;-20933
82;Adana-1;F;-15.19;84024;84024
83;Adıyaman-2;F;-15.19;27824;27824
84;Afyonkarahisar-3;F;-15.19;28204;28204
85;Ağrı-4;F;-15.19;29578;29578
86;Aksaray-68;F;-15.19;16770;16770
87;Amasya-5;F;-15.19;11638;11638
88;Ankara-6;F;-15.19;194269;194269
89;Antalya-7;F;-15.19;81402;81402
90;Ardahan-75;F;-15.19;3613;3613
91;Artvin-8;F;-15.19;5313;5313
92;Aydın-9;F;-15.19;35668;35668
93;Balıkesir-10;F;-15.19;35622;35622
94;Bartın-74;F;-15.19;7207;7207
95;Batman-72;F;-15.19;32484;32484
96;Bayburt-69;F;-15.19;3996;3996
97;Bilecik-11;F;-15.19;7170;7170
98;Bingöl-12;F;-15.19;11860;11860
99;Bitlis-13;F;-15.19;18297;18297
100;Bolu-14;F;-15.19;11715;11715
101;Burdur-15;F;-15.19;9407;9407
102;Bursa-16;F;-15.19;97886;97886
103;Çanakkale-17;F;-15.19;16798;16798
104;Çankırı-18;F;-15.19;6424;6424
105;Çorum-19;F;-15.19;18156;18156
106;Denizli-20;F;-15.19;35393;35393
107;Diyarbakır-21;F;-15.19;84695;84695
108;Düzce-81;F;-15.19;14587;14587
109;Edirne-22;F;-15.19;13222;13222
110;Elazığ-23;F;-15.19;23178;23178
111;Erzincan-24;F;-15.19;8887;8887
112;Erzurum-25;F;-15.19;37183;37183
113;Eskişehir-26;F;-15.19;27402;27402
114;Gaziantep-27;F;-15.19;90438;90438
115;Giresun-28;F;-15.19;15000;15000
116;Gümüşhane-29;F;-15.19;6587;6587
117;Hakkari-30;F;-15.19;14828;14828
118;Hatay-31;F;-15.19;65914;65914
119;Iğdır-76;F;-15.19;9338;9338
120;Isparta-32;F;-15.19;17193;17193
121;İstanbul-34;F;-15.19;526181;526181
122;İzmir-35;F;-15.19;128864;128864
123;Kahramanmaraş-46;F;-15.19;49802;49802
124;Karabük-78;F;-15.19;9403;9403
125;Karaman-70;F;-15.19;10276;10276
126;Kars-36;F;-15.19;13037;13037
127;Kastamonu-37;F;-15.19;12317;12317
128;Kayseri-38;F;-15.19;53982;53982
129;Kilis-79;F;-15.19;6484;6484
130;Kırıkkale-71;F;-15.19;11411;11411
131;Kırklareli-39;F;-15.19;10852;10852
132;Kırşehir-40;F;-15.19;9563;9563
133;Kocaeli-41;F;-15.19;66139;66139
134;Konya-42;F;-15.19;89848;89848
135;Kütahya-43;F;-15.19;19896;19896
136;Malatya-44;F;-15.19;31424;31424
137;Manisa-45;F;-15.19;45879;45879
138;Mardin-47;F;-15.19;42830;42830
139;Mersin-33;F;-15.19;66343;66343
140;Muğla-48;F;-15.19;27719;27719
141;Muş-49;F;-15.19;22707;22707
142;Nevşehir-50;F;-15.19;11576;11576
143;Niğde-51;F;-15.19;15370;15370
144;Ordu-52;F;-15.19;25097;25097
145;Osmaniye-80;F;-15.19;21720;21720
146;Rize-53;F;-15.19;12025;12025
147;Sakarya-54;F;-15.19;38564;38564
148;Samsun-55;F;-15.19;49425;49425
149;Şanlıurfa-63;F;-15.19;103064;103064
150;Siirt-56;F;-15.19;18127;18127
151;Sinop-57;F;-15.19;6899;6899
152;Şırnak-73;F;-15.19;28883;28883
153;Sivas-58;F;-15.19;25983;25983
154;Tekirdağ-59;F;-15.19;31893;31893
155;Tokat-60;F;-15.19;23344;23344
156;Trabzon-61;F;-15.19;28980;28980
157;Tunceli-62;F;-15.19;1925;1925
158;Uşak-64;F;-15.19;13183;13183
159;Van-65;F;-15.19;61026;61026
160;Yalova-77;F;-15.19;8861;8861
161;Yozgat-66;F;-15.19;16645;16645
162;Zonguldak-67;F;-15.19;19986;19986
163;Adana-1;M;-20.24;81930;-81930
164;Adıyaman-2;M;-20.24;25753;-25753
165;Afyonkarahisar-3;M;-20.24;28906;-28906
166;Ağrı-4;M;-20.24;28359;-28359
167;Aksaray-68;M;-20.24;18167;-18167
168;Amasya-5;M;-20.24;13338;-13338
169;Ankara-6;M;-20.24;224866;-224866
170;Antalya-7;M;-20.24;91427;-91427
171;Ardahan-75;M;-20.24;4788;-4788
172;Artvin-8;M;-20.24;6838;-6838
173;Aydın-9;M;-20.24;40056;-40056
174;Balıkesir-10;M;-20.24;44490;-44490
175;Bartın-74;M;-20.24;7155;-7155
176;Batman-72;M;-20.24;28407;-28407
177;Bayburt-69;M;-20.24;5896;-5896
178;Bilecik-11;M;-20.24;9097;-9097
179;Bingöl-12;M;-20.24;13897;-13897
180;Bitlis-13;M;-20.24;17148;-17148
181;Bolu-14;M;-20.24;14358;-14358
182;Burdur-15;M;-20.24;13844;-13844
183;Bursa-16;M;-20.24;109024;-109024
184;Çanakkale-17;M;-20.24;23982;-23982
185;Çankırı-18;M;-20.24;8412;-8412
186;Çorum-19;M;-20.24;19092;-19092
187;Denizli-20;M;-20.24;38642;-38642
188;Diyarbakır-21;M;-20.24;78535;-78535
189;Düzce-81;M;-20.24;16038;-16038
190;Edirne-22;M;-20.24;22113;-22113
191;Elazığ-23;M;-20.24;26721;-26721
192;Erzincan-24;M;-20.24;12634;-12634
193;Erzurum-25;M;-20.24;36955;-36955
194;Eskişehir-26;M;-20.24;39619;-39619
195;Gaziantep-27;M;-20.24;84393;-84393
196;Giresun-28;M;-20.24;17148;-17148
197;Gümüşhane-29;M;-20.24;9254;-9254
198;Hakkari-30;M;-20.24;23417;-23417
199;Hatay-31;M;-20.24;62323;-62323
200;Iğdır-76;M;-20.24;10002;-10002
201;Isparta-32;M;-20.24;22552;-22552
202;İstanbul-34;M;-20.24;620290;-620290
203;İzmir-35;M;-20.24;160512;-160512
204;Kahramanmaraş-46;M;-20.24;45041;-45041
205;Karabük-78;M;-20.24;14205;-14205
206;Karaman-70;M;-20.24;10658;-10658
207;Kars-36;M;-20.24;14762;-14762
208;Kastamonu-37;M;-20.24;15596;-15596
209;Kayseri-38;M;-20.24;55855;-55855
210;Kilis-79;M;-20.24;7176;-7176
211;Kırıkkale-71;M;-20.24;12861;-12861
212;Kırklareli-39;M;-20.24;17158;-17158
213;Kırşehir-40;M;-20.24;10108;-10108
214;Kocaeli-41;M;-20.24;74568;-74568
215;Konya-42;M;-20.24;93553;-93553
216;Kütahya-43;M;-20.24;23028;-23028
217;Malatya-44;M;-20.24;32445;-32445
218;Manisa-45;M;-20.24;56020;-56020
219;Mardin-47;M;-20.24;37836;-37836
220;Mersin-33;M;-20.24;66972;-66972
221;Muğla-48;M;-20.24;34457;-34457
222;Muş-49;M;-20.24;19032;-19032
223;Nevşehir-50;M;-20.24;12713;-12713
224;Niğde-51;M;-20.24;16598;-16598
225;Ordu-52;M;-20.24;26193;-26193
226;Osmaniye-80;M;-20.24;20562;-20562
227;Rize-53;M;-20.24;13761;-13761
228;Sakarya-54;M;-20.24;41552;-41552
229;Samsun-55;M;-20.24;51614;-51614
230;Şanlıurfa-63;M;-20.24;89585;-89585
231;Siirt-56;M;-20.24;18956;-18956
232;Sinop-57;M;-20.24;7756;-7756
233;Şırnak-73;M;-20.24;36031;-36031
234;Sivas-58;M;-20.24;29866;-29866
235;Tekirdağ-59;M;-20.24;44053;-44053
236;Tokat-60;M;-20.24;25000;-25000
237;Trabzon-61;M;-20.24;31926;-31926
238;Tunceli-62;M;-20.24;5358;-5358
239;Uşak-64;M;-20.24;15650;-15650
240;Van-65;M;-20.24;54276;-54276
241;Yalova-77;M;-20.24;10581;-10581
242;Yozgat-66;M;-20.24;17233;-17233
243;Zonguldak-67;M;-20.24;21401;-21401
244;Adana-1;F;-20.24;80295;80295
245;Adıyaman-2;F;-20.24;25378;25378
246;Afyonkarahisar-3;F;-20.24;29874;29874
247;Ağrı-4;F;-20.24;24639;24639
248;Aksaray-68;F;-20.24;18329;18329
249;Amasya-5;F;-20.24;11460;11460
250;Ankara-6;F;-20.24;215646;215646
251;Antalya-7;F;-20.24;86426;86426
