City;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90+;Gender
Adana-1;89973.0;81930.0;79820.0;81952.0;88602.0;81661.0;74344.0;63073.0;58703.0;47689.0;35466.0;22956.0;12559.0;6675.0;3886.0;966.0;M
Adıyaman-2;29195.0;25753.0;24037.0;23655.0;23084.0;19849.0;18310.0;14761.0;12776.0;9797.0;8001.0;5689.0;3819.0;2250.0;1547.0;322.0;M
Afyonkarahisar-3;29340.0;28906.0;24730.0;26040.0;27368.0;24348.0;22843.0;21566.0;21045.0;17546.0;13774.0;9649.0;6206.0;3993.0;2249.0;508.0;M
Ağrı-4;31306.0;28359.0;25536.0;19430.0;17376.0;12422.0;13029.0;8519.0;8739.0;5941.0;4313.0;3118.0;1856.0;1049.0;557.0;147.0;M
Aksaray-68;17436.0;18167.0;14971.0;15600.0;15835.0;14319.0;13021.0;10626.0;9587.0;8060.0;6059.0;5150.0;2702.0;1665.0;877.0;182.0;M
Amasya-5;12016.0;13338.0;13609.0;12616.0;12177.0;11182.0;10851.0;10483.0;10867.0;9346.0;7627.0;6113.0;3777.0;2534.0;1597.0;295.0;M
Ankara-6;202713.0;224866.0;221045.0;227632.0;233215.0;216980.0;198471.0;173111.0;156506.0;121627.0;86076.0;57547.0;34534.0;18981.0;11611.0;3268.0;M
Antalya-7;88518.0;91427.0;91679.0;99179.0;109817.0;103716.0;96275.0;80536.0;71809.0;54150.0;39584.0;26614.0;16793.0;9309.0;5213.0;1398.0;M
Ardahan-75;3914.0;4788.0;4102.0;3651.0;3612.0;3217.0;3398.0;2652.0;2628.0;2461.0;1853.0;1613.0;1142.0;656.0;350.0;115.0;M
Artvin-8;5445.0;6838.0;6096.0;5986.0;6077.0;5566.0;6004.0;5885.0;6087.0;5509.0;4142.0;3050.0;2283.0;1426.0;1046.0;279.0;M
Aydın-9;36737.0;40056.0;37987.0;38177.0;41508.0;39556.0;38036.0;36331.0;37111.0;33241.0;25055.0;17853.0;11073.0;6961.0;3725.0;990.0;M
Balıkesir-10;39204.0;44490.0;40067.0;40880.0;44775.0;45086.0;44154.0;42794.0;42705.0;38641.0;31213.0;23089.0;15400.0;9034.0;4576.0;1328.0;M
Bartın-74;6890.0;7155.0;6632.0;6623.0;7564.0;7380.0;6840.0;6255.0;6545.0;6107.0;5053.0;3680.0;2190.0;1116.0;828.0;210.0;M
Batman-72;33906.0;28407.0;28465.0;22543.0;20624.0;16559.0;14412.0;10491.0;8431.0;5914.0;4335.0;2846.0;1934.0;1181.0;684.0;219.0;M
Bayburt-69;3777.0;5896.0;3935.0;3024.0;2702.0;2496.0;2362.0;2197.0;2028.0;1827.0;1447.0;1105.0;817.0;449.0;329.0;81.0;M
Bilecik-11;7871.0;9097.0;8808.0;9229.0;9297.0;8243.0;7736.0;7052.0;6766.0;5788.0;3974.0;2760.0;1982.0;1353.0;730.0;206.0;M
Bingöl-12;12191.0;13897.0;13905.0;11951.0;10600.0;8435.0;8080.0;6073.0;5515.0;4295.0;3010.0;2283.0;1558.0;977.0;602.0;175.0;M
Bitlis-13;19039.0;17148.0;17447.0;13522.0;11709.0;8691.0;8844.0;6718.0;6055.0;4182.0;2951.0;2069.0;1464.0;711.0;450.0;137.0;M
Bolu-14;11481.0;14358.0;11354.0;11106.0;12001.0;11248.0;10639.0;9283.0;9183.0;8320.0;6780.0;4922.0;3450.0;2019.0;1341.0;416.0;M
Burdur-15;9709.0;13844.0;10388.0;8947.0;9231.0;9304.0;8918.0;8601.0;8794.0;7624.0;6224.0;4495.0;2954.0;2145.0;1353.0;395.0;M
Bursa-16;107382.0;109024.0;114151.0;121415.0;131678.0;120339.0;110819.0;95477.0;85800.0;70072.0;51170.0;33762.0;20747.0;11872.0;6139.0;1645.0;M
Çanakkale-17;16677.0;23982.0;18574.0;18401.0;20714.0;20076.0;18877.0;18490.0;18285.0;16952.0;13719.0;10042.0;6335.0;3964.0;2055.0;620.0;M
Çankırı-18;6837.0;8412.0;7005.0;6836.0;6671.0;5987.0;5989.0;6156.0;6743.0;6036.0;5022.0;3750.0;2715.0;1484.0;1004.0;250.0;M
Çorum-19;18739.0;19092.0;16711.0;17365.0;19003.0;18261.0;17616.0;16429.0;16861.0;14636.0;12192.0;9957.0;6632.0;3708.0;2573.0;543.0;M
Denizli-20;37204.0;38642.0;36041.0;37894.0;42749.0;41574.0;37075.0;33910.0;30990.0;25095.0;19276.0;13552.0;8344.0;5343.0;3049.0;777.0;M
Diyarbakır-21;88906.0;78535.0;80592.0;69565.0;62914.0;50265.0;43305.0;32288.0;27182.0;18381.0;14064.0;9493.0;6526.0;3562.0;2234.0;587.0;M
Düzce-81;15293.0;16038.0;15213.0;14385.0;15256.0;15001.0;13504.0;11814.0;11334.0;9689.0;6690.0;4862.0;2881.0;1669.0;948.0;225.0;M
Edirne-22;12785.0;22113.0;15278.0;14431.0;15029.0;14912.0;13852.0;14270.0;15041.0;14019.0;10902.0;7099.0;4111.0;2913.0;1489.0;457.0;M
Elazığ-23;24498.0;26721.0;21833.0;21454.0;22089.0;19561.0;19188.0;16597.0;15319.0;12826.0;9400.0;6696.0;4496.0;2710.0;1941.0;407.0;M
Erzincan-24;8964.0;12634.0;11031.0;9104.0;8345.0;7776.0;7481.0;6578.0;6286.0;5736.0;4576.0;3384.0;2238.0;1366.0;951.0;257.0;M
Erzurum-25;36719.0;36955.0;29548.0;27264.0;26523.0;22906.0;22377.0;18004.0;16749.0;13425.0;10092.0;8139.0;5534.0;3250.0;1950.0;422.0;M
Eskişehir-26;29715.0;39619.0;34545.0;34391.0;35274.0;33144.0;31335.0;28756.0;27567.0;22468.0;17351.0;12071.0;7759.0;4659.0;2270.0;671.0;M
Gaziantep-27;95651.0;84393.0;79423.0;81610.0;78317.0;68081.0;56495.0;44037.0;38006.0;26835.0;20384.0;14424.0;8317.0;4264.0;2228.0;618.0;M
Giresun-28;15377.0;17148.0;15320.0;14331.0;15164.0;14520.0;14625.0;15288.0;16905.0;15983.0;11349.0;7366.0;5224.0;3839.0;2754.0;637.0;M
Gümüşhane-29;6658.0;9254.0;7271.0;6364.0;5703.0;5354.0;5146.0;4905.0;4901.0;4137.0;2994.0;2055.0;1483.0;972.0;705.0;154.0;M
Hakkari-30;15428.0;23417.0;21203.0;11447.0;10251.0;7216.0;5758.0;4087.0;3734.0;2411.0;1527.0;1069.0;759.0;384.0;194.0;98.0;M
Hatay-31;69720.0;62323.0;54098.0;57029.0;60532.0;55796.0;52231.0;45249.0;40976.0;31341.0;22431.0;14958.0;7111.0;6819.0;3469.0;920.0;M
Iğdır-76;9876.0;10002.0;8819.0;7672.0;7207.0;5750.0;5434.0;4141.0;3942.0;3061.0;2286.0;1698.0;894.0;584.0;363.0;105.0;M
Isparta-32;17147.0;22552.0;15516.0;15086.0;16045.0;15405.0;14538.0;13035.0;13147.0;11692.0;9498.0;6597.0;4201.0;2565.0;1792.0;460.0;M
İstanbul-34;563324.0;620290.0;665305.0;693476.0;721320.0;644655.0;578228.0;453346.0;379429.0;281093.0;189853.0;125966.0;74215.0;40761.0;23911.0;7226.0;M
